"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
3046129,"       (2000 PU29)","2000 PU29",,,N,N,0,8.08,,,,,,,,,,,,,,,,,,,5,2460200.5,60200,2023-09-13.0000000,J2000,.02849081194942873,42.74839154589588,41.53045516122121,.7065756667774054,227.1488651730921,127.6922679867471,341.4480920026128,43.96632793057054,.003526341807215416,2465461.450018919666,2038-02-06.9500189,102088.7990107445,279.503898728938,40.5253,15771.231001,36.5644,5.852,.00024296,.02041,.010664,7.9084E-5,.02849,.63965,.61155,.020991,2.5254E-6,169.92,73.111,TNO,"Otto Matic",8092,1999-07-18,2021-09-12,19,,,4,.18096,,,,,,,,,
3046131,"       (2000 PW29)","2000 PW29",,,N,N,0,8.3,,,,,,,,,,,,,,,,,,,4,2460200.5,60200,2023-09-13.0000000,J2000,.05698136954484129,44.43165643314786,41.89987979844123,1.755844374114014,147.9702020697177,92.17092861621296,87.61546378204309,46.96343306785448,.00332786206809863,2433872.646865118695,1951-08-14.1468651,108177.5604376793,296.174018994331,40.8872,15912.071624,36.5098,5.949,.0091014,.056783,.39652,.0058331,.078122,4.9372,3.799,.060019,6.3795E-6,1139.5,207.37,TNO,"Otto Matic",794,1999-07-19,2001-09-20,14,,,6,.0753,,,,,,,,,
3046132,"       (2000 PX29)","2000 PX29",,,N,N,0,7.6,,,,,,,,,,,,,,,,,,,5,2460200.5,60200,2023-09-13.0000000,J2000,.06154889455226872,42.86436354849502,40.22610935639859,6.398104529327865,135.3178777837203,266.1104427037411,301.0671081483915,45.50261774059145,.003512040410376,2476980.743096718554,2069-08-22.2430967,102504.5153058072,280.642067914599,39.24,15271.0308,35.2699,5.815,7.9877E-5,.035957,.036003,.00041553,.00055294,.60911,.56971,.038171,4.4192E-6,141.1,128.98,TNO,"Otto Matic",6974,2000-07-31,2019-09-04,28,,,5,.33164,,,,,,,,,
3046133,"       (2000 PY29)","2000 PY29",,,N,N,0,7.3,,,,,,,,,,,,,,,,,,,4,2460200.5,60200,2023-09-13.0000000,J2000,.05045605145843107,44.52029008085506,42.27397203359116,.8197117834405929,45.22886626750832,117.0434143316963,182.0295414055403,46.76660812811897,.003317929056702668,2513839.518662841874,2170-07-23.0186628,108501.4157468952,297.060686507584,41.2811,16065.365687,36.8465,5.959,.00048483,.035692,.055049,.00013084,.066485,.73476,.81367,.037493,3.99E-6,300.32,130.48,TNO,"Otto Matic",4450,2000-08-05,2012-10-11,22,,,5,.20779,,,,,,,,,
3046134,"       (2000 PZ29)","2000 PZ29",,,N,N,0,7.54,,,,,,,,,,,,,,,,,.11124,,"JPL 6",2451762.5,51762,2000-08-06.0000000,J2000,1.924877960268971E-5,44.89880583220279,44.8979415849849,13.76030141400616,319.1085626390453,183.1420372662137,175.7825918626154,44.89967007942068,.003276060311899214,2398105.798008237871,1853-09-09.2980082,109888.0868256357,300.857185012007,43.8855,17078.920035,39.5171,5.822,345.96,6278.6,18355.,1414.1,109.82,1.3493E10,1.3493E10,6278.7,.68718,4.1187E12,2.305E7,TNO,"Otto Matic",1,2000-08-05,2000-08-06,6,,,9,.052478,,,,,,,,,
3046135,"       (2000 PA30)","2000 PA30",,,N,N,0,8.0,,,,,,,,,,,,,,,,,,,8,2460200.5,60200,2023-09-13.0000000,J2000,.1353582311514497,47.3414445179387,40.93339032783603,.4183270699530682,324.8407497715056,293.971275344436,71.37445821276201,53.74949870804138,.003025811129214683,2436611.962855817281,1959-02-12.4628558,118976.3619163613,325.739526122824,39.9175,15534.693475,35.6158,6.087,.00044314,.046847,.032228,.00057086,.011801,.30089,.30735,.053189,4.4914E-6,67.313,176.6,TNO,"Otto Matic",5525,1999-07-19,2014-09-03,18,,,5,.13214,,,,,,,,,
3046136,"       (2000 PB30)","2000 PB30",,,N,N,0,8.1416,,,,,,,,,,,,,,,,,.30013,,"JPL 6",2451762.5,51762,2000-08-06.0000000,J2000,2.136374367420041E-5,42.49698818382147,42.49608028905899,7.932659537250012,131.0480398384197,10.44181275949559,175.3145350760726,42.49789607858396,.003557679699823929,2402484.726319376372,1865-09-05.2263194,101189.5477880756,277.041883061124,41.4821,16143.588857,37.0581,5.783,339.96,5682.7,17076.,763.34,556.49,1.0644E10,1.0644E10,5682.8,.7136,2.9918E12,2.0297E7,TNO,"Otto Matic",1,2000-08-05,2000-08-06,6,,,9,.07216,,,,,,,,,
3046137,"       (2000 PC30)","2000 PC30",,,N,N,0,7.6,,,,,,,,,,,,,,,,,,,5,2460200.5,60200,2023-09-13.0000000,J2000,.02344354382494564,43.34995406627217,42.33367751831014,1.251237972070828,71.88908834348075,132.6058372478335,139.1920078653284,44.3662306142342,.003453195063907287,2419892.320100126992,1913-05-04.8201001,104251.2784066882,285.424444645279,41.3291,16084.045847,36.8727,5.890,.00025279,.028791,.038402,.00019827,.022742,1.1153,1.1403,.029466,3.4402E-6,290.59,103.86,TNO,"Otto Matic",7351,1999-07-20,2019-09-04,24,,,4,.17674,,,,,,,,,
3046138,"       (2000 PD30)","2000 PD30",,,N,N,0,7.0,,,,,,,,,,,,,,,,,,,6,2460200.5,60200,2023-09-13.0000000,J2000,.02459178005696093,46.8424815402432,45.69054153688329,4.587486700399547,330.5989547628209,323.9258468017995,46.96875060847752,47.99442154360311,.003074285752828932,2444922.560867225087,1981-11-14.0608672,117100.3702790904,320.603340942068,44.6751,17386.208667,40.5162,6.091,.00017292,.011579,.0040495,.00060921,.0012473,.26329,.26192,.011864,1.1399E-6,81.159,43.42,TNO,"Otto Matic",5549,1999-07-18,2014-09-26,40,,,4,.26788,,,,,,,,,
3046140,"       (2000 PF30)","2000 PF30",,,N,N,0,7.9,,,,,,,,,,,,,,,,,,,5,2460200.5,60200,2023-09-13.0000000,J2000,.505867540323347,77.1057918842497,38.10047459908041,6.308519335640948,293.6955535386569,338.1325931659861,21.78431367272418,116.111109169419,.001455705662110562,2445235.720896826020,1982-09-23.2208968,247302.7407738816,677.078003487698,37.0844,14432.135948,32.8486,6.668,.00065637,.10475,.010853,.0011645,.0023707,.059257,.048246,.15774,2.9665E-6,9.8814,503.97,TNO,"Otto Matic",2463,1999-07-19,2006-04-16,27,,,4,.33711,,,,,,,,,
