packed_designation,resonant_count,classical_count,scattering_count,detached_count,other_count
q3776,0,301,0,0,0
q3777,301,0,0,0,0
q3778,0,0,112,189,0
q3780,0,301,0,0,0
q3787,0,0,301,0,0
q3789,0,301,0,0,0
q3793,0,301,0,0,0
q3794,301,0,0,0,0
q3797,0,0,301,0,0
q3798,0,0,301,0,0
q3800,0,0,301,0,0
q3899,4,297,0,0,0
q3955,301,0,0,0,0
q3965,0,0,0,301,0
q3983,0,301,0,0,0
q4049,0,0,0,301,0
q4179,301,0,0,0,0
q4216,301,0,0,0,0
q4217,0,301,0,0,0
q4365,301,0,0,0,0
q4366,0,301,0,0,0
q4435,0,301,0,0,0
q4457,301,0,0,0,0
q4460,301,0,0,0,0
q4531,0,301,0,0,0
q4612,0,301,0,0,0
q4613,0,0,301,0,0
q4747,0,0,0,301,0
q4834,0,301,0,0,0
q5257,219,82,0,0,0
q5258,301,0,0,0,0
q5460,0,301,0,0,0
q5461,0,301,0,0,0
q5462,0,301,0,0,0
q5595,0,301,0,0,0
q5596,0,301,0,0,0
q5729,0,301,0,0,0
q5815,301,0,0,0,0
q5816,301,0,0,0,0
q7604,301,0,0,0,0
q8219,0,0,0,301,0
q8381,301,0,0,0,0
q9780,11,290,0,0,0
q9823,0,0,0,301,0
q9938,301,0,0,0,0
q9940,0,0,0,301,0
r0055,292,9,0,0,0
r0231,0,301,0,0,0
r0838,301,0,0,0,0
r0839,301,0,0,0,0
r0930,301,0,0,0,0
r0941,0,301,0,0,0
r0955,0,0,0,301,0
r1015,9,0,0,292,0
r1016,0,0,0,301,0
r1017,301,0,0,0,0
r1040,0,301,0,0,0
r1074,301,0,0,0,0
r1075,0,0,301,0,0
r1076,0,301,0,0,0
r1077,301,0,0,0,0
r1141,0,301,0,0,0
r1142,0,0,0,301,0
r1224,0,0,0,301,0
r1682,0,301,0,0,0
r1683,301,0,0,0,0
r1684,0,301,0,0,0
r1917,301,0,0,0,0
r2026,0,301,0,0,0
r2027,0,0,301,0,0
r2037,0,0,0,301,0
r2038,0,301,0,0,0
r2039,301,0,0,0,0
r2092,301,0,0,0,0
r2093,0,301,0,0,0
r2095,0,301,0,0,0
r2184,0,0,301,0,0
r3028,301,0,0,0,0
r3085,295,0,0,6,0
r3205,0,301,0,0,0
r3206,0,301,0,0,0
r3207,0,301,0,0,0
r3208,0,0,0,301,0
r3209,301,0,0,0,0
r3210,301,0,0,0,0
r3211,301,0,0,0,0
r3397,0,301,0,0,0
r3398,301,0,0,0,0
r3506,0,301,0,0,0
r3507,0,301,0,0,0
r3508,301,0,0,0,0
r3560,0,0,0,301,0
r3561,0,301,0,0,0
r3562,301,0,0,0,0
r3563,0,0,57,244,0
r3676,0,301,0,0,0
r3704,0,301,0,0,0
r3868,0,301,0,0,0
r4073,0,0,0,301,0
r4074,301,0,0,0,0
r4161,301,0,0,0,0
r4314,301,0,0,0,0
r4315,301,0,0,0,0
r4405,0,301,0,0,0
r4625,0,301,0,0,0
r4626,301,0,0,0,0
r4627,301,0,0,0,0
r4631,0,0,301,0,0
r5017,0,0,301,0,0
r5018,0,301,0,0,0
r5019,301,0,0,0,0
r5020,0,301,0,0,0
r5021,0,301,0,0,0
r5022,224,77,0,0,0
r5023,0,301,0,0,0
r5024,301,0,0,0,0
r5025,301,0,0,0,0
r5026,0,301,0,0,0
r5027,0,301,0,0,0
r5028,0,301,0,0,0
r5029,301,0,0,0,0
r5030,0,0,2,299,0
r5031,0,0,301,0,0
r5032,301,0,0,0,0
r5167,301,0,0,0,0
r5168,301,0,0,0,0
r5169,4,0,297,0,0
r5228,0,0,0,301,0
r5229,301,0,0,0,0
r5230,0,0,0,301,0
r5231,301,0,0,0,0
r5466,0,301,0,0,0
r5986,0,301,0,0,0
r5987,0,301,0,0,0
r5988,301,0,0,0,0
r5989,0,301,0,0,0
r5990,0,301,0,0,0
r5991,301,0,0,0,0
r5992,0,0,301,0,0
r5993,0,301,0,0,0
r5994,0,0,0,301,0
r6287,0,301,0,0,0
r6919,0,301,0,0,0
r6920,0,301,0,0,0
r6921,0,301,0,0,0
r6922,301,0,0,0,0
r8690,0,301,0,0,0
r8691,0,301,0,0,0
s2258,301,0,0,0,0
s2889,0,0,301,0,0
s3354,0,0,0,301,0
s3375,0,301,0,0,0
s3376,0,0,0,301,0
s3377,0,0,301,0,0
s3435,301,0,0,0,0
s3454,0,301,0,0,0
s3733,0,301,0,0,0
s3734,301,0,0,0,0
s3735,0,0,301,0,0
s4430,301,0,0,0,0
s4977,0,301,0,0,0
s5293,0,0,301,0,0
s5361,0,301,0,0,0
s6974,301,0,0,0,0
s7616,301,0,0,0,0
s7617,0,301,0,0,0
s7893,0,301,0,0,0
s8504,0,301,0,0,0
t0564,301,0,0,0,0
t2033,0,0,0,301,0
t2474,232,0,69,0,0
t2555,1,0,0,300,0
t2678,0,0,301,0,0
t2679,301,0,0,0,0
t3137,0,0,0,301,0
t3138,0,301,0,0,0
t3893,0,301,0,0,0
t3898,0,301,0,0,0
t4000,0,0,0,301,0
t4099,0,0,301,0,0
t4102,301,0,0,0,0
t4780,0,301,0,0,0
t4856,301,0,0,0,0
t4982,0,301,0,0,0
t5426,0,301,0,0,0
t5591,0,301,0,0,0
t5632,0,301,0,0,0
t5678,0,301,0,0,0
t5756,301,0,0,0,0
t5757,0,301,0,0,0
t5758,301,0,0,0,0
t5820,0,301,0,0,0
t5915,301,0,0,0,0
t5916,301,0,0,0,0
t6004,0,0,1,300,0
t6067,301,0,0,0,0
t6068,301,0,0,0,0
t6130,301,0,0,0,0
t6416,0,301,0,0,0
t8093,0,0,301,0,0
t8095,301,0,0,0,0
t8168,0,0,301,0,0
t8224,0,301,0,0,0
t9178,301,0,0,0,0
t9179,301,0,0,0,0
t9180,0,301,0,0,0
t9181,0,301,0,0,0
t9182,0,301,0,0,0
t9800,0,0,0,301,0
t9801,181,0,120,0,0
u0039,301,0,0,0,0
u0414,0,0,301,0,0
u0552,0,301,0,0,0
u4160,301,0,0,0,0
u7065,0,0,301,0,0
u8573,301,0,0,0,0
v4372,0,0,0,301,0
v4441,0,0,0,301,0
v5713,301,0,0,0,0
v6212,0,301,0,0,0
v6256,301,0,0,0,0
v6257,301,0,0,0,0
v7578,301,0,0,0,0
v7627,0,301,0,0,0
v8833,0,0,0,301,0
v8834,301,0,0,0,0
v8835,0,0,0,301,0
v8847,0,301,0,0,0
v8992,301,0,0,0,0
v8993,301,0,0,0,0
v8997,0,0,301,0,0
v9062,0,301,0,0,0
v9077,0,301,0,0,0
v9246,301,0,0,0,0
w1804,301,0,0,0,0
w3751,301,0,0,0,0
w5899,0,0,175,126,0
w5912,0,0,301,0,0
w5913,0,0,301,0,0
w7670,0,301,0,0,0
w9683,0,0,0,301,0
x1370,0,0,301,0,0
x1376,0,0,301,0,0
x1392,0,301,0,0,0
x1486,301,0,0,0,0
x2044,0,301,0,0,0
x2064,0,301,0,0,0
x2147,0,301,0,0,0
x2148,0,301,0,0,0
x2149,0,0,301,0,0
x2245,0,0,0,301,0
x2487,0,301,0,0,0
x3616,0,301,0,0,0
x3617,301,0,0,0,0
x4994,301,0,0,0,0
x7614,0,0,0,301,0
x9752,0,301,0,0,0
y0181,0,301,0,0,0
y1690,0,0,301,0,0
y2572,0,0,0,301,0
y2714,0,0,301,0,0
y2715,0,0,301,0,0
y2716,0,0,0,301,0
y3108,0,301,0,0,0
y9221,0,301,0,0,0
y9222,0,301,0,0,0
z2019,0,301,0,0,0
z2026,0,301,0,0,0
z2029,301,0,0,0,0
z2045,301,0,0,0,0
z2047,0,301,0,0,0
z2048,0,301,0,0,0
z2049,0,301,0,0,0
z2051,301,0,0,0,0
z2060,301,0,0,0,0
z2081,0,301,0,0,0
z2082,0,301,0,0,0
z2083,0,301,0,0,0
z2084,0,0,0,301,0
z2085,0,301,0,0,0
z2086,301,0,0,0,0
z2087,0,301,0,0,0
z2088,301,0,0,0,0
z2092,0,301,0,0,0
z2095,0,301,0,0,0
z2100,0,301,0,0,0
z2101,133,0,0,168,0
z2102,301,0,0,0,0
z2141,0,301,0,0,0
z2144,0,301,0,0,0
z2145,229,0,72,0,0
z2146,0,301,0,0,0
z2147,0,301,0,0,0
z2148,0,301,0,0,0
z2149,0,301,0,0,0
z2150,0,301,0,0,0
z2156,0,301,0,0,0
z2157,0,301,0,0,0
z2158,301,0,0,0,0
z2161,0,301,0,0,0
z2166,0,301,0,0,0
z2167,0,301,0,0,0
z2174,0,301,0,0,0
z2175,0,301,0,0,0
z2176,301,0,0,0,0
z2203,0,301,0,0,0
z2208,301,0,0,0,0
z2213,0,301,0,0,0
z2214,0,301,0,0,0
z2217,0,301,0,0,0
z2218,301,0,0,0,0
z2236,0,301,0,0,0
z2237,0,301,0,0,0
z2238,0,301,0,0,0
z2239,0,301,0,0,0
z2240,301,0,0,0,0
z2241,301,0,0,0,0
z2242,0,301,0,0,0
z2243,301,0,0,0,0
z2244,0,301,0,0,0
z2245,0,0,0,301,0
z2332,301,0,0,0,0
z2333,0,301,0,0,0
z2349,0,301,0,0,0
z2350,301,0,0,0,0
z2351,301,0,0,0,0
z2352,301,0,0,0,0
z2388,0,301,0,0,0
z2524,301,0,0,0,0
z2533,301,0,0,0,0
z2547,301,0,0,0,0
z2548,0,301,0,0,0
z2549,0,301,0,0,0
z2573,0,301,0,0,0
z2574,301,0,0,0,0
z2575,0,0,0,301,0
z2576,0,301,0,0,0
z2577,0,301,0,0,0
z2578,0,301,0,0,0
z2579,0,301,0,0,0
z2580,0,301,0,0,0
z2581,301,0,0,0,0
z2582,0,301,0,0,0
z2583,0,301,0,0,0
z2584,0,0,0,301,0
z2619,0,301,0,0,0
z2620,0,301,0,0,0
z2621,301,0,0,0,0
z2658,301,0,0,0,0
z2687,0,301,0,0,0
z2688,301,0,0,0,0
z2719,0,301,0,0,0
z2732,0,0,301,0,0
z2733,0,301,0,0,0
z2772,301,0,0,0,0
z2793,301,0,0,0,0
z2794,0,301,0,0,0
z2795,0,301,0,0,0
z2798,0,301,0,0,0
z2883,301,0,0,0,0
z2891,301,0,0,0,0
z2892,301,0,0,0,0
z2911,0,301,0,0,0
z2931,301,0,0,0,0
z2951,0,0,301,0,0
z2952,301,0,0,0,0
z2953,301,0,0,0,0
z2985,0,301,0,0,0
z3037,301,0,0,0,0
z3087,301,0,0,0,0
z3100,301,0,0,0,0
z3411,240,0,58,3,0
z3412,0,0,0,301,0
z3468,301,0,0,0,0
z3469,301,0,0,0,0
z3490,300,1,0,0,0
z3619,0,0,301,0,0
z3620,301,0,0,0,0
z3766,0,0,301,0,0
z3857,0,301,0,0,0
z3858,0,0,0,301,0
z3908,0,0,0,301,0
z4688,0,301,0,0,0
z6560,301,0,0,0,0
z7103,0,0,0,301,0
~000v,0,301,0,0,0
~0013,0,301,0,0,0
~001C,0,0,0,301,0
~001D,301,0,0,0,0
~001O,0,0,0,301,0
~001P,301,0,0,0,0
~001Q,284,17,0,0,0
~0086,301,0,0,0,0
~00U1,301,0,0,0,0
~00f2,301,0,0,0,0
~00nW,0,0,0,301,0
~01Gm,0,0,301,0,0
J93R00P,300,0,1,0,0
J94E02S,0,301,0,0,0
J95D02B,0,301,0,0,0
J96K01V,0,301,0,0,0
J96R20Q,0,301,0,0,0
J97G45A,0,301,0,0,0
J97Q04H,0,301,0,0,0
J97R09X,0,301,0,0,0
J98FE4S,0,301,0,0,0
J98HF1L,0,301,0,0,0
J98HF1N,0,301,0,0,0
J98HF1O,0,301,0,0,0
J98K61Y,0,301,0,0,0
J98K65S,0,301,0,0,0
J98U43R,301,0,0,0,0
J98W24V,0,301,0,0,0
J98W24X,0,301,0,0,0
J98W31S,301,0,0,0,0
J98W31V,301,0,0,0,0
J98W31W,0,301,0,0,0
J98W31Y,0,301,0,0,0
J98W31Z,301,0,0,0,0
J99CB8Y,0,0,301,0,0
J99CB8Z,112,0,0,189,0
J99CB9B,0,301,0,0,0
J99CB9C,0,301,0,0,0
J99CB9H,0,301,0,0,0
J99CB9J,0,301,0,0,0
J99CB9N,0,301,0,0,0
J99CD3Q,0,301,0,0,0
J99CF3M,0,301,0,0,0
