packed_designation,a_au,Nopp
t6416,46.4041083,12
t8093,34.438095,5
t8095,55.1950072,9
t8168,66.067997,9
t8224,43.9712654,9
t9176,29.4437064,12
t9178,36.2211338,12
t9179,43.4016807,8
t9180,43.3163532,12
t9181,42.5684144,8
t9182,46.7417664,13
t9800,106.9184844,10
t9801,66.5710794,10
u0039,39.1793973,12
u0414,70.7814857,10
u0552,44.0664938,9
u4160,36.0966116,8
u7065,46.8326071,10
u8573,45.5172548,14
v4372,77.6272285,13
v4441,57.7993493,15
v5713,39.8129051,12
v6212,40.3380517,11
v6256,47.5069883,11
v6257,39.2213201,8
v7578,47.4746031,6
v7627,40.728173,8
v8833,50.2863269,10
v8834,39.3608431,13
v8835,57.2304545,12
v8847,51.2393748,8
v8992,39.2188741,13
v8993,39.5652313,14
v8997,42.7255226,10
v9062,42.6246852,12
v9077,41.3101146,11
v9246,39.1343422,6
w1804,47.6427068,5
w3751,47.6484793,5
w4778,77.7391125,5
w5899,84.1276463,10
w5912,32.4401072,14
w5913,38.6152303,11
w7670,42.8939954,6
w9683,49.5952443,14
x1370,37.4364959,7
x1376,39.9928924,9
x1392,45.9378498,10
x1486,39.8140543,6
x2044,46.7598241,9
x2064,44.2936483,10
x2147,46.9697257,10
x2148,44.3277332,10
x2149,147.5015327,11
x2245,68.9002298,6
x2487,45.5397423,10
x3616,43.316277,8
x3617,35.1048596,6
x4337,180.4036445,6
x4994,39.7094076,6
x7614,71.6115713,8
x9752,45.4706467,9
y0181,45.0809736,9
y0217,174.5119176,10
y1690,34.515366,11
y2572,50.1627293,8
y2714,63.5162556,9
y2715,57.6625791,6
y2716,67.6233684,9
y3108,43.8475801,12
y6187,34.9327471,4
y9221,44.2580636,15
y9222,44.4998972,8
z2019,42.6834885,7
z2026,43.8469748,10
z2029,39.3662531,8
z2045,39.7855477,7
z2047,42.9719674,12
z2048,44.182117,16
z2049,43.5360342,14
z2051,48.3925612,5
z2060,39.1589424,6
z2081,45.6554786,12
z2082,43.284673,8
z2083,45.5955501,10
z2084,88.0331212,11
z2085,46.7087525,14
z2086,42.0196162,9
z2087,44.0304418,8
z2088,39.1807208,10
z2092,42.7238662,5
z2095,38.2942229,10
z2100,44.4513848,5
z2101,60.1641995,11
z2102,39.6569182,7
z2141,43.1084877,11
z2144,44.0096213,6
z2145,36.5158759,7
z2146,43.7985634,7
z2147,43.7219226,10
z2148,46.160021,6
z2149,43.9466084,14
z2150,46.9885614,10
z2156,44.8446392,7
z2157,43.6570882,7
z2158,39.0254102,6
z2161,41.1766057,9
z2166,43.3264618,10
z2167,43.4482085,12
z2174,44.4768965,8
z2175,44.3512549,10
z2176,48.2465925,9
z2203,45.0563524,13
z2208,39.361613,10
z2213,43.012234,11
z2214,43.7493596,6
z2217,42.5346987,9
z2218,39.5289106,7
z2236,43.3012451,13
z2237,45.5879263,10
z2238,44.7383361,14
z2239,46.682551,16
z2240,44.1649763,13
z2241,39.7106411,7
z2242,44.3760619,15
z2243,30.4485424,15
z2244,44.4136489,12
z2245,58.863958,11
z2332,39.4621397,11
z2333,44.8221744,6
z2349,41.8422335,11
z2350,55.2176997,12
z2351,39.4242847,12
z2352,39.2875664,11
z2388,42.9899942,15
z2524,47.895855,9
z2533,39.3960108,20
z2547,39.1740041,6
z2548,43.955184,6
z2549,43.384992,7
z2573,44.2296634,9
z2574,39.4989834,12
z2575,68.7354101,13
z2576,45.7467427,8
z2577,39.0860017,10
z2578,46.9074703,13
z2579,44.5608534,9
z2580,38.5074248,17
z2581,39.5998303,13
z2582,43.6803794,8
z2583,43.3853156,10
z2584,49.8402901,15
z2619,42.8531386,7
z2620,43.0229508,16
z2621,39.7524504,6
z2658,39.4717709,7
z2687,42.8460387,7
z2688,39.4335985,14
z2719,44.191963,14
z2732,88.0339992,15
z2733,46.6750521,10
z2772,39.4167753,15
z2793,44.1727347,15
z2794,44.376914,13
z2795,44.1666134,5
z2798,39.2484856,11
z2883,81.7841959,13
z2891,55.9384148,15
z2892,48.0585118,14
z2911,57.655531,15
z2931,47.628929,20
z2951,51.5532035,12
z2952,39.2653573,14
z2953,36.3064044,13
z2985,42.2639887,12
z3037,95.7705542,14
z3087,42.697478,7
z3100,42.8727254,16
z3411,89.9979454,14
z3412,80.6405651,9
z3468,42.5820978,13
z3469,62.9985472,10
z3490,30.2357032,17
z3619,38.1517876,12
z3620,39.6017616,13
z3766,34.2983371,11
z3857,41.8592147,6
z3858,73.6545403,9
z3908,57.6579453,10
z4688,43.2083538,8
z6560,55.7780482,8
z7103,50.32477,13
~000v,53.5492601,13
~0013,44.7007958,9
~001C,62.0764277,10
~001D,39.2734298,11
~001O,63.7998899,9
~001P,58.6927748,9
~001Q,51.1906092,7
~0086,47.328691,7
~00U1,47.4878659,10
~00f2,39.0513088,8
~00nW,48.6855159,5
~01Gm,33.796121,12
~03m3,53.3762189,16
J93R00P,35.2537324,3
J94E02S,45.5207727,6
J95D02B,46.2562686,6
J96K01V,45.2678061,5
J96R20Q,44.2104497,6
J97G45A,46.8734532,5
J97Q04H,43.0796129,5
J97R09X,41.8728315,3
J98FE4S,41.5477682,6
J98HF1L,40.5794589,4
J98HF1N,37.7877143,9
J98HF1O,41.160701,5
J98K61Y,44.5817052,8
J98K65S,44.0454842,5
J98U43R,39.6913563,6
J98W24V,39.1687861,8
J98W24X,43.5048516,8
J98W31S,39.594303,6
J98W31V,39.4939387,6
J98W31W,44.8840866,7
J98W31Y,45.2888904,7
J98W31Z,39.6494718,5
J99CB8Y,88.9722067,8
J99CB8Z,114.7920334,5
J99CB9B,46.6045542,8
J99CB9C,44.4896038,10
J99CB9H,43.1796697,7
J99CB9J,45.1557398,9
J99CB9M,43.8353261,3
J99CB9N,43.5616345,7
J99CD3Q,41.1676008,10
J99CF3M,45.460746,6
J99CF3N,43.6442854,4
J99CF4G,42.8858047,3
J99CF4H,42.8565115,5
J99CF8K,40.6686775,5
J99D00A,43.085495,4
J99D08H,43.8798651,3
J99G46S,44.3388751,6
J99H11S,43.8950323,6
J99H12G,43.4168892,6
J99H12H,43.3466023,6
J99H12J,42.9134696,4
J99JD2D,43.0879912,4
J99K18R,43.7907428,3
J99O03Z,44.3057059,6
J99O04A,44.6581514,5
J99O04C,45.7880248,3
J99O04D,41.6673077,6
J99O04G,47.2490884,3
J99O04H,40.7077652,4
J99O04K,43.4167419,4
J99RL4T,42.8706246,7
J99RL4U,56.011868,5
J99RL4W,43.257901,5
J99RL4X,46.4800916,6
J99RL4Z,86.2996922,5
